trial,raw_sqnr_db,aligned_sqnr_db,alpha_real,alpha_imag
107,56.4578557294642,56.49749666623759,1.000109750578885,-9.219021900578638e-05
108,56.369753994176705,56.42150677211013,1.000132132282327,-9.937379600715885e-05
109,56.53502581668663,56.572842129186526,1.0000805683195266,-0.00011298268660018126
110,56.26242919181931,56.30176847983307,1.0001125620893745,-9.304253684738674e-05
111,56.21493355103645,56.24980047622021,1.0000770190826997,-0.00011483426979952234
112,56.41647532976592,56.458962623755,1.0001153313591784,-9.445546228824061e-05
113,56.43889750764256,56.48779757641417,1.0001116937300858,-0.00011380356364573274
114,56.348888502976635,56.413803547725294,1.00014023390443,-0.00012138386851035214
115,56.44479575759263,56.501661556400926,1.0001042412118752,-0.00013650968984178178
116,56.404753232210226,56.44691900979873,1.000110697035031,-9.930445352099354e-05
117,56.39099876250662,56.45045895068467,1.0001530106644323,-8.839127502993385e-05
118,56.414286087090495,56.462214609421494,1.0001160109777247,-0.00010773885687827893
119,56.252032668015055,56.29164946975368,1.000111901901826,-9.490159564823864e-05
120,56.23043816635865,56.295353100083304,1.0001332147545523,-0.0001326800655319472
121,56.40961284834599,56.442371530937514,1.0000866424882853,-9.835121237014368e-05
122,56.315334151867944,56.36552701527645,1.0001291994786192,-0.00010078008805301676
123,56.360880523588996,56.40907349288681,1.000140763314601,-7.551519528271732e-05
124,56.32337466449044,56.37766777947572,1.0001197468464003,-0.00012097606001540464
125,56.45515681362701,56.49898221837958,1.0000961018259047,-0.00011610283839815638
126,56.52767091981531,56.59284031282931,1.0001533237756113,-9.81494139460231e-05
127,56.444157518029584,56.47715531122296,1.000089746653882,-9.546386196435396e-05
128,56.41241698199944,56.47567317288808,1.0001513337361325,-0.00010069207668351488
129,56.46881205956393,56.4951540768035,1.0000836332036813,-8.150566511575434e-05
130,56.24896822840515,56.29704262735423,1.0001315112599503,-9.393179766250109e-05
131,56.358263072202604,56.397796435700585,1.000124307754471,-7.424418913031192e-05
132,56.21012848510815,56.27394321010016,1.0001443072425997,-0.00011872042252218564
133,56.36913905221882,56.46728661985889,1.0001988920865248,-0.00010963136831808684
134,56.34389901985196,56.38551420920288,1.0000964694245749,-0.0001132644926965137
135,56.57925566856078,56.62015170754488,1.00012518414932,-7.026395692827809e-05
136,56.30957725051995,56.36411821002124,1.0001231608069954,-0.00011844907462765906
137,56.28538412395927,56.324808605052716,1.0001130309736916,-9.211113905777483e-05
138,56.455371228705225,56.49351662098973,1.000099780572497,-9.913276510852977e-05
139,56.27736218458142,56.34395935302862,1.0001490544201057,-0.00011684819447941649
140,56.519248124256194,56.55581421906411,1.0001077155966174,-8.419346953547872e-05
141,56.240463730865784,56.292156381748974,1.0001384542490068,-9.464841264070269e-05
142,56.3882660817839,56.434228347275564,1.0001141659733737,-0.00010561169617728604
143,56.26349722696479,56.30537357908676,1.0001262477054227,-8.217360664747581e-05
